from_vertex_id	to_vertex_id	start_minute	end_minute	weight	interaction_type
14	12	0.125	0.125	1	social
12	14	0.25	0.25	1	social
18	12	0.375	0.375	1	sanction
12	18	0.5	0.5	1	sanction
1	12	0.625	0.625	1	sanction
12	1	0.75	0.75	1	sanction
14	17	0.875	0.875	1	task
17	14	1	1	1	task
14	1	1.167	1.167	0.2	task
14	2	1.167	1.167	0.2	task
14	3	1.167	1.167	0.2	task
14	4	1.167	1.167	0.2	task
14	5	1.167	1.167	0.2	task
14	6	1.167	1.167	0.2	task
14	7	1.167	1.167	0.2	task
14	8	1.167	1.167	0.2	task
14	9	1.167	1.167	0.2	task
14	10	1.167	1.167	0.2	task
14	11	1.167	1.167	0.2	task
14	12	1.167	1.167	0.2	task
14	13	1.167	1.167	0.2	task
14	15	1.167	1.167	0.2	task
14	16	1.167	1.167	0.2	task
14	17	1.167	1.167	0.2	task
14	18	1.167	1.167	0.2	task
14	19	1.167	1.167	0.2	task
14	20	1.167	1.167	0.2	task
7	1	1.333	1.333	0.2	task
7	2	1.333	1.333	0.2	task
7	3	1.333	1.333	0.2	task
7	4	1.333	1.333	0.2	task
7	5	1.333	1.333	0.2	task
7	6	1.333	1.333	0.2	task
7	8	1.333	1.333	0.2	task
7	9	1.333	1.333	0.2	task
7	10	1.333	1.333	0.2	task
7	11	1.333	1.333	0.2	task
7	12	1.333	1.333	0.2	task
7	13	1.333	1.333	0.2	task
7	14	1.333	1.333	0.2	task
7	15	1.333	1.333	0.2	task
7	16	1.333	1.333	0.2	task
7	17	1.333	1.333	0.2	task
7	18	1.333	1.333	0.2	task
7	19	1.333	1.333	0.2	task
7	20	1.333	1.333	0.2	task
4	12	1.5	1.5	1	social
12	4	1.667	1.667	1	social
12	10	1.833	1.833	1	social
10	12	2	2	1	social
10	4	2.167	2.167	1	social
4	10	2.333	2.333	1	social
4	5	2.5	2.5	1	social
5	4	2.667	2.667	1	social
5	10	2.833	2.833	1	social
10	5	3	3	1	social
5	12	3.167	3.167	1	social
12	5	3.333	3.333	1	social
7	4	3.5	3.5	1	sanction
7	5	3.667	3.667	1	sanction
7	12	3.833	3.833	1	sanction
7	10	4	4	1	sanction
14	7	4.167	4.167	1	task
14	4	4.333	4.333	1	sanction
14	5	4.5	4.5	1	sanction
14	12	4.667	4.667	1	sanction
14	10	4.833	4.833	1	sanction
16	17	5	5	1	social
17	16	5.167	5.167	1	social
16	17	5.333	5.333	1	social
17	16	5.5	5.5	1	social
7	1	5.667	5.667	0.2	task
7	2	5.667	5.667	0.2	task
7	3	5.667	5.667	0.2	task
7	4	5.667	5.667	0.2	task
7	5	5.667	5.667	0.2	task
7	6	5.667	5.667	0.2	task
7	8	5.667	5.667	0.2	task
7	9	5.667	5.667	0.2	task
7	10	5.667	5.667	0.2	task
7	11	5.667	5.667	0.2	task
7	12	5.667	5.667	0.2	task
7	13	5.667	5.667	0.2	task
7	14	5.667	5.667	0.2	task
7	15	5.667	5.667	0.2	task
7	16	5.667	5.667	0.2	task
7	17	5.667	5.667	0.2	task
7	18	5.667	5.667	0.2	task
7	19	5.667	5.667	0.2	task
7	20	5.667	5.667	0.2	task
17	7	5.833	5.833	1	task
7	17	6	6	1	task
7	1	6.107	6.107	0.2	task
7	2	6.107	6.107	0.2	task
7	3	6.107	6.107	0.2	task
7	4	6.107	6.107	0.2	task
7	5	6.107	6.107	0.2	task
7	6	6.107	6.107	0.2	task
7	8	6.107	6.107	0.2	task
7	9	6.107	6.107	0.2	task
7	10	6.107	6.107	0.2	task
7	11	6.107	6.107	0.2	task
7	12	6.107	6.107	0.2	task
7	13	6.107	6.107	0.2	task
7	14	6.107	6.107	0.2	task
7	15	6.107	6.107	0.2	task
7	16	6.107	6.107	0.2	task
7	17	6.107	6.107	0.2	task
7	18	6.107	6.107	0.2	task
7	19	6.107	6.107	0.2	task
7	20	6.107	6.107	0.2	task
10	5	6.214	6.214	1	social
5	10	6.321	6.321	1	social
4	12	6.429	6.429	1	social
12	4	6.536	6.536	1	social
7	1	6.643	6.643	0.2	task
7	2	6.643	6.643	0.2	task
7	3	6.643	6.643	0.2	task
7	4	6.643	6.643	0.2	task
7	5	6.643	6.643	0.2	task
7	6	6.643	6.643	0.2	task
7	8	6.643	6.643	0.2	task
7	9	6.643	6.643	0.2	task
7	10	6.643	6.643	0.2	task
7	11	6.643	6.643	0.2	task
7	12	6.643	6.643	0.2	task
7	13	6.643	6.643	0.2	task
7	14	6.643	6.643	0.2	task
7	15	6.643	6.643	0.2	task
7	16	6.643	6.643	0.2	task
7	17	6.643	6.643	0.2	task
7	18	6.643	6.643	0.2	task
7	19	6.643	6.643	0.2	task
7	20	6.643	6.643	0.2	task
18	1	6.75	6.75	1	task
1	18	6.857	6.857	1	task
20	17	6.964	6.964	1	social
